package_name,observation_time_utc,status,first_seen_utc,last_release_utc,release_count,latest_version,summary,home_page,author,requires_python,yanked_any,classifiers_count,has_description,http_status
flask-tdg-cyberx,2026-06-20T01:24:22.909989+00:00,alive,2025-08-21T11:20:23.955550Z,2025-08-21T11:20:25.554641Z,1,3.300.41,play CTF,,,>=3.7,False,3,True,200
hack-test,2026-06-20T01:24:23.410165+00:00,alive,2025-11-23T15:08:34.823424Z,2025-11-24T04:20:45.584969Z,4,0.4,,,,,False,0,False,200
httpx-utils,2026-06-20T01:24:23.910341+00:00,not_found,,,0,,,,,,False,0,False,404
httpx2,2026-06-20T01:24:24.410433+00:00,alive,2026-05-11T06:12:34.916478Z,2026-06-11T06:35:54.538686Z,7,2.4.0,The next generation HTTP client.,,,>=3.10,False,16,True,200
kraken123,2026-06-20T01:24:24.910614+00:00,alive,2025-08-29T10:32:51.354738Z,2025-09-14T20:38:37.097770Z,5,0.5.0,A virus package FOR EDUCATIONAL PURPOSES ONLY,,,,False,6,True,200
kwargs,2026-06-20T01:24:25.410793+00:00,alive,2026-01-09T21:16:16.902181Z,2026-01-09T21:16:18.661851Z,1,0.0.0.dev0,kwargs,,,>=3.11,False,8,True,200
libtpu-nightly,2026-06-20T01:24:25.910996+00:00,alive,2023-02-18T02:03:31.977146Z,2023-02-18T02:03:35.116346Z,1,0.0.1,A small example package,,,>=3.7,True,3,True,200
lightning,2026-06-20T01:24:26.411167+00:00,alive,2022-10-27T14:36:51.476235Z,2026-05-27T14:33:41.806549Z,171,2.6.5,"The Deep Learning framework to train, deploy, and ship AI products Lightning fast.",https://github.com/Lightning-AI/lightning,Lightning AI et al.,>=3.10,True,13,True,200
lightning_core,2026-06-20T01:24:26.911264+00:00,alive,2026-03-28T16:54:37.370541Z,2026-04-15T06:07:45.574617Z,28,0.5.7,Lightning Core: macOS-first CUDA-style runtime with Metal backend,,JunHyeon Beak (Kwangwoon University),>=3.9,False,13,True,200
litellm,2026-06-20T01:24:27.411441+00:00,alive,2023-07-27T00:36:16.462525Z,2026-06-18T02:26:03.640874Z,1168,1.89.2,Library to easily interface with LLM API providers,,BerriAI,"<3.14,>=3.10",True,0,True,200
llmboost-hub,2026-06-20T01:24:27.911544+00:00,alive,2026-01-06T01:17:59.456844Z,2026-06-11T05:14:31.782957Z,11,1.0.1,A lightweight CLI tool for managing LLMBoost™ model images and environments.,,,>=3.11,False,3,True,200
matpllotlib,2026-06-20T01:24:28.411716+00:00,not_found,,,0,,,,,,False,0,False,404
mlflow-toolkit,2026-06-20T01:24:28.911898+00:00,alive,2025-07-14T13:30:47.806908Z,2025-07-29T10:32:57.959489Z,2,0.2.0,,,,>=3.7,False,0,True,200
nlttk,2026-06-20T01:24:29.412075+00:00,alive,2026-04-12T14:16:56.222336Z,2026-04-12T14:16:57.553616Z,1,0.0.8,My Python package,,MangoJuice,>=3.8,False,0,True,200
